Cat,Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
Cloudsuite,cassandra,pythia,0.37859,1443372,381906,74879,160240,1
Cloudsuite,cassandra,dspatch,0.36231,2653110,639809,94207,126607,1
Cloudsuite,cassandra,spp_ppf_dev,0.37858,1988111,396756,84376,157179,1
Cloudsuite,cassandra,SpikeFetch,0.37102,1472240,393363,76377,163445,1

Cloudsuite,nutch,nopref,0.31702,677577,375152,44195,258230,1
Cloudsuite,nutch,spp,0.32844,515546,86929,43850,23455,1
Cloudsuite,nutch,bingo,0.32857,735390,95834,42704,230128,1
Cloudsuite,nutch,mlop,0.32978,698046,61262,39367,102617,1
Cloudsuite,nutch,pythia,0.33049,707153,53670,42080,207440,1
Cloudsuite,nutch,dspatch,0.32499,908139,137409,40304,154629,1
Cloudsuite,nutch,spp_ppf_dev,0.33016,800738,55972,40713,188817,1
Cloudsuite,nutch,SpikeFetch,0.32058,728368,55280,42922,213663,1

Cloudsuite,streaming,nopref,0.2457,856617,684866,116091,55660,1
Cloudsuite,streaming,spp,0.25949,1000024,289563,138311,58502,1
Cloudsuite,streaming,bingo,0.2629,1019035,151662,121332,62535,1
Cloudsuite,streaming,mlop,0.26224,1449567,158437,137250,69926,1
Cloudsuite,streaming,pythia,0.25985,1003380,214031,120683,44796,1
Cloudsuite,streaming,dspatch,0.25884,1500836,241848,143169,34018,1
Cloudsuite,streaming,spp_ppf_dev,0.26275,1184644,114939,130977,39320,1
Cloudsuite,streaming,SpikeFetch,0.26635,983312,207610,118269,43890,1

